epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,1871.77,0.48772,0.46922,0.95197,0.85879,0.80822,0.85517,0.69045,0.69255,0.76331,1.17858,0.0002773,0.0002773,0.0002773
75,1896.67,0.48831,0.46599,0.94517,0.85519,0.809,0.86382,0.69849,0.68285,0.74254,1.17526,0.0002674,0.0002674,0.0002674
76,1921.56,0.48989,0.47247,0.95207,0.86284,0.8187,0.86884,0.70334,0.69786,0.74734,1.17479,0.0002575,0.0002575,0.0002575
77,1946.47,0.48469,0.46665,0.94972,0.86006,0.80822,0.86593,0.70453,0.70335,0.78149,1.18669,0.0002476,0.0002476,0.0002476
78,1971.35,0.49934,0.46896,0.95434,0.86526,0.79171,0.86035,0.70367,0.70404,0.74953,1.20445,0.0002377,0.0002377,0.0002377
79,1996.22,0.48377,0.46264,0.94894,0.8586,0.81507,0.86619,0.69454,0.70739,0.75465,1.17702,0.0002278,0.0002278,0.0002278
80,2021.04,0.48456,0.46269,0.94595,0.86594,0.79633,0.86555,0.70839,0.68782,0.76353,1.18016,0.0002179,0.0002179,0.0002179
81,2046,0.48668,0.4605,0.94696,0.87493,0.80137,0.86877,0.69626,0.71337,0.76788,1.20662,0.000208,0.000208,0.000208
82,2070.86,0.47503,0.45622,0.93679,0.87015,0.80137,0.86489,0.69535,0.70347,0.76599,1.19447,0.0001981,0.0001981,0.0001981
83,2095.71,0.48327,0.456,0.94556,0.89917,0.79408,0.86643,0.70135,0.69027,0.74853,1.19056,0.0001882,0.0001882,0.0001882
84,2120.54,0.47597,0.45303,0.94535,0.89249,0.80822,0.88004,0.71182,0.69415,0.73644,1.18522,0.0001783,0.0001783,0.0001783
85,2145.48,0.4843,0.46074,0.94739,0.89173,0.78977,0.87105,0.70573,0.68337,0.75421,1.17825,0.0001684,0.0001684,0.0001684
86,2170.39,0.471,0.4468,0.94636,0.84994,0.82877,0.86541,0.7061,0.69079,0.7545,1.17072,0.0001585,0.0001585,0.0001585
87,2195.29,0.47148,0.45263,0.93685,0.84568,0.82574,0.86592,0.70318,0.68701,0.75513,1.18407,0.0001486,0.0001486,0.0001486
88,2220.28,0.46298,0.44487,0.93726,0.85597,0.81413,0.86278,0.7047,0.69805,0.73776,1.18642,0.0001387,0.0001387,0.0001387
89,2245.19,0.4692,0.44879,0.9404,0.86561,0.82192,0.86708,0.70415,0.69998,0.73671,1.19077,0.0001288,0.0001288,0.0001288
90,2270.21,0.46394,0.44204,0.9376,0.85252,0.83145,0.86289,0.70395,0.68674,0.74208,1.18617,0.0001189,0.0001189,0.0001189
91,2296.83,0.70721,0.75879,1.03702,0.8738,0.80822,0.8658,0.69723,0.69874,0.78437,1.2319,0.000109,0.000109,0.000109
92,2321.96,0.67824,0.6604,1.01868,0.86305,0.79452,0.85993,0.70188,0.70992,0.79532,1.21652,9.91e-05,9.91e-05,9.91e-05
93,2346.74,0.67258,0.63435,1.00424,0.85737,0.80137,0.85789,0.69765,0.68113,0.78634,1.19723,8.92e-05,8.92e-05,8.92e-05
94,2371.63,0.66926,0.6185,1.0067,0.85696,0.79452,0.85979,0.70264,0.68288,0.78363,1.18828,7.93e-05,7.93e-05,7.93e-05
95,2396.45,0.65878,0.61495,0.99773,0.84721,0.80137,0.86048,0.70447,0.68556,0.79587,1.18354,6.94e-05,6.94e-05,6.94e-05
96,2421.36,0.6581,0.61363,0.994,0.86117,0.80725,0.85741,0.70156,0.66498,0.76914,1.18145,5.95e-05,5.95e-05,5.95e-05
97,2446.07,0.64998,0.60078,0.98912,0.83039,0.81507,0.85593,0.70901,0.65505,0.76063,1.16924,4.96e-05,4.96e-05,4.96e-05
98,2470.83,0.65382,0.60462,0.99475,0.8695,0.76027,0.85703,0.7094,0.6642,0.76714,1.17069,3.97e-05,3.97e-05,3.97e-05
99,2495.61,0.6543,0.59604,0.9911,0.87414,0.76027,0.85587,0.70995,0.66582,0.75554,1.17092,2.98e-05,2.98e-05,2.98e-05
100,2520.45,0.65098,0.60156,0.9908,0.83525,0.79865,0.85355,0.71152,0.65822,0.75394,1.16553,1.99e-05,1.99e-05,1.99e-05
