epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,1183.98,0.55146,0.52584,0.97752,0.81968,0.84065,0.85322,0.67795,0.76592,0.81117,1.24309,0.0004654,0.0004654,0.0004654
56,1205.5,0.53599,0.52496,0.97454,0.87207,0.79452,0.86333,0.70194,0.72414,0.79048,1.21305,0.0004555,0.0004555,0.0004555
57,1227.65,0.53967,0.52918,0.97608,0.85949,0.79605,0.86226,0.69274,0.74062,0.78198,1.21445,0.0004456,0.0004456,0.0004456
58,1249.06,0.54678,0.53322,0.97535,0.88628,0.80072,0.86185,0.69563,0.7256,0.76463,1.20557,0.0004357,0.0004357,0.0004357
59,1270.55,0.53088,0.5231,0.97346,0.85149,0.84247,0.86537,0.68769,0.72626,0.78299,1.20722,0.0004258,0.0004258,0.0004258
60,1292.14,0.51756,0.50962,0.95829,0.86989,0.8243,0.86206,0.68832,0.73115,0.79025,1.21707,0.0004159,0.0004159,0.0004159
61,1313.58,0.51935,0.51027,0.96698,0.8844,0.80137,0.86146,0.68977,0.76065,0.77828,1.23425,0.000406,0.000406,0.000406
62,1335.1,0.5256,0.51337,0.96384,0.8901,0.80137,0.86422,0.69528,0.75416,0.77711,1.22734,0.0003961,0.0003961,0.0003961
63,1356.6,0.52749,0.51335,0.96689,0.87338,0.80319,0.86342,0.67996,0.76019,0.78491,1.21368,0.0003862,0.0003862,0.0003862
64,1377.93,0.52535,0.5117,0.97092,0.85075,0.81992,0.86029,0.6855,0.77553,0.78367,1.2361,0.0003763,0.0003763,0.0003763
65,1399.56,0.51747,0.51151,0.97142,0.8507,0.82877,0.86342,0.68919,0.75721,0.80857,1.22567,0.0003664,0.0003664,0.0003664
66,1421.14,0.52302,0.50951,0.96677,0.87135,0.78767,0.86931,0.68091,0.77136,0.82793,1.2262,0.0003565,0.0003565,0.0003565
67,1442.59,0.51646,0.49879,0.96388,0.86277,0.81816,0.86827,0.68961,0.75816,0.78824,1.23031,0.0003466,0.0003466,0.0003466
68,1464.16,0.52665,0.50219,0.96423,0.86811,0.79452,0.86666,0.69347,0.76084,0.7668,1.23813,0.0003367,0.0003367,0.0003367
69,1485.64,0.51625,0.50003,0.96148,0.85375,0.79967,0.859,0.69022,0.7558,0.7744,1.21869,0.0003268,0.0003268,0.0003268
70,1507.12,0.51243,0.49512,0.95717,0.84856,0.81507,0.86924,0.68266,0.77074,0.77326,1.2552,0.0003169,0.0003169,0.0003169
71,1528.74,0.50861,0.49584,0.96092,0.8925,0.77397,0.87099,0.68477,0.76212,0.78569,1.23013,0.000307,0.000307,0.000307
72,1550.28,0.50539,0.49746,0.96111,0.87975,0.80178,0.87438,0.6885,0.75409,0.74044,1.23382,0.0002971,0.0002971,0.0002971
73,1571.63,0.51359,0.49703,0.95636,0.85029,0.81697,0.87031,0.69722,0.75576,0.75089,1.23582,0.0002872,0.0002872,0.0002872
74,1593.11,0.50484,0.49111,0.96027,0.83983,0.82877,0.86728,0.68823,0.77576,0.76019,1.24457,0.0002773,0.0002773,0.0002773
75,1614.61,0.50452,0.49005,0.95763,0.85347,0.80822,0.87265,0.70182,0.7709,0.75996,1.23702,0.0002674,0.0002674,0.0002674
76,1635.98,0.50642,0.49223,0.96083,0.86066,0.81507,0.8681,0.69516,0.74381,0.74795,1.21742,0.0002575,0.0002575,0.0002575
77,1657.47,0.50302,0.48892,0.96143,0.86896,0.81753,0.86786,0.69053,0.73765,0.73237,1.23635,0.0002476,0.0002476,0.0002476
78,1679.02,0.51939,0.49629,0.96524,0.86126,0.80782,0.86559,0.69134,0.77041,0.75897,1.25297,0.0002377,0.0002377,0.0002377
79,1700.59,0.49524,0.48251,0.95228,0.83845,0.81762,0.85904,0.69063,0.76871,0.76018,1.23921,0.0002278,0.0002278,0.0002278
80,1721.95,0.50456,0.48424,0.96121,0.87973,0.80161,0.86303,0.6961,0.75353,0.74262,1.23616,0.0002179,0.0002179,0.0002179
81,1743.42,0.50482,0.48801,0.95997,0.86754,0.80137,0.85697,0.68337,0.74549,0.7404,1.2321,0.000208,0.000208,0.000208
82,1764.82,0.49605,0.47658,0.95038,0.87304,0.80071,0.87337,0.69631,0.7715,0.7552,1.23958,0.0001981,0.0001981,0.0001981
83,1786.45,0.49671,0.4818,0.95604,0.87831,0.80822,0.86542,0.6867,0.75718,0.74165,1.23653,0.0001882,0.0001882,0.0001882
84,1807.86,0.49823,0.47791,0.95668,0.85025,0.81671,0.86523,0.69436,0.75518,0.74171,1.23349,0.0001783,0.0001783,0.0001783
85,1829.35,0.5001,0.48825,0.95907,0.86675,0.82877,0.88313,0.70002,0.76445,0.72832,1.24376,0.0001684,0.0001684,0.0001684
86,1850.82,0.49509,0.47662,0.95448,0.83221,0.82877,0.86892,0.68811,0.77497,0.75528,1.24981,0.0001585,0.0001585,0.0001585
87,1872.31,0.49805,0.47289,0.95346,0.8725,0.81507,0.8702,0.70172,0.75692,0.73712,1.2367,0.0001486,0.0001486,0.0001486
88,1893.69,0.48341,0.46639,0.94866,0.8446,0.83562,0.87151,0.70187,0.76286,0.72927,1.24266,0.0001387,0.0001387,0.0001387
89,1915.14,0.49081,0.47791,0.95443,0.85567,0.82192,0.87684,0.69402,0.76826,0.74525,1.24403,0.0001288,0.0001288,0.0001288
90,1936.64,0.48381,0.46536,0.9496,0.89206,0.78767,0.87131,0.70216,0.7544,0.74576,1.23453,0.0001189,0.0001189,0.0001189
91,1959.47,0.75706,0.79216,1.06774,0.91781,0.75342,0.84862,0.67698,0.76835,0.77478,1.27604,0.000109,0.000109,0.000109
92,1980.87,0.72713,0.68429,1.05249,0.85336,0.82192,0.8471,0.67681,0.75377,0.77816,1.2584,9.91e-05,9.91e-05,9.91e-05
93,2002.12,0.71313,0.664,1.03269,0.86518,0.80822,0.85777,0.68819,0.74421,0.78896,1.23759,8.92e-05,8.92e-05,8.92e-05
94,2023.39,0.70709,0.65728,1.03431,0.86275,0.79452,0.8654,0.69598,0.74263,0.79002,1.22908,7.93e-05,7.93e-05,7.93e-05
95,2044.61,0.69368,0.65415,1.02815,0.86206,0.79452,0.8607,0.6908,0.72379,0.78011,1.21179,6.94e-05,6.94e-05,6.94e-05
96,2065.78,0.70234,0.65213,1.02809,0.85137,0.80137,0.85834,0.68998,0.72477,0.78852,1.20842,5.95e-05,5.95e-05,5.95e-05
97,2086.95,0.68236,0.63431,1.01246,0.87493,0.81453,0.86593,0.69716,0.7232,0.78077,1.1972,4.96e-05,4.96e-05,4.96e-05
98,2108.2,0.69064,0.63432,1.02314,0.87482,0.81373,0.86411,0.69579,0.72239,0.77613,1.19968,3.97e-05,3.97e-05,3.97e-05
99,2129.36,0.68446,0.63385,1.01572,0.86857,0.81507,0.866,0.69677,0.72636,0.77695,1.2029,2.98e-05,2.98e-05,2.98e-05
100,2150.44,0.68434,0.63819,1.01299,0.86518,0.81507,0.86854,0.6988,0.72293,0.77539,1.20087,1.99e-05,1.99e-05,1.99e-05
